id,name,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
bitcoin,Bitcoin,104381.0,2069152521767,-0.55798,108786.0,67.81,25-01-2025
ethereum,Ethereum,3300.4,397878887391,-2.97615,4878.26,0.432979,25-01-2025
ripple,XRP,3.1,179039032846,-1.9416,3.4,0.00268621,25-01-2025
tether,Tether,0.999835,139307842330,0.00027,1.32,0.572521,25-01-2025
solana,Solana,249.13,121131985420,-4.44272,293.31,0.500801,25-01-2025
binancecoin,BNB,684.12,99655873880,-0.76992,788.84,0.0398177,25-01-2025
usd-coin,USDC,0.999999,52192109854,0.00454,1.17,0.877647,25-01-2025
dogecoin,Dogecoin,0.350607,51685677563,-1.84427,0.731578,8.69e-05,25-01-2025
cardano,Cardano,0.978392,35097547060,-2.67553,3.09,0.01925275,25-01-2025
staked-ether,Lido Staked Ether,3294.97,31441392087,-2.75566,4829.57,482.9,25-01-2025
tron,TRON,0.256251,22036209845,-0.32105,0.431288,0.00180434,25-01-2025
chainlink,Chainlink,25.07,15949310350,-3.54085,52.7,0.148183,25-01-2025
avalanche-2,Avalanche,35.63,14633135786,-1.44548,144.96,2.8,25-01-2025
wrapped-steth,Wrapped stETH,3924.44,13571634324,-2.39675,7256.02,558.54,25-01-2025
wrapped-bitcoin,Wrapped Bitcoin,104559.0,13502679602,-0.18885,108368.0,3139.17,25-01-2025
stellar,Stellar,0.430648,13148349470,-1.92302,0.875563,0.00047612,25-01-2025
hedera-hashgraph,Hedera,0.332065,12709578557,-0.12402,0.569229,0.00986111,25-01-2025
sui,Sui,4.19,12599604486,-4.85525,5.35,0.364846,25-01-2025
the-open-network,Toncoin,5.05,12579430408,-1.37997,8.25,0.519364,25-01-2025
shiba-inu,Shiba Inu,2.003e-05,11783069689,-1.15494,8.616e-05,5.6366e-11,25-01-2025
weth,WETH,3298.0,9938840484,-3.07046,4799.89,82.1,25-01-2025
polkadot,Polkadot,6.32,9611534107,-2.39743,54.98,2.7,25-01-2025
litecoin,Litecoin,122.79,9263760389,5.09126,410.26,1.15,25-01-2025
bitget-token,Bitget Token,7.72,9261614858,7.19009,8.45,0.0142795,25-01-2025
